blz,bankname,lkz
20220100,DNB Bank ASA - Filiale Deutschland,DE
20220400,"Warburg, M.M. - Hypothekenbank",DE
20230300,"Schröder, Otto M. - Bank",DE
20230600,Isbank Fil Hamburg,DE
20230800,"Sutor, Max Heinr",DE
20310300,Europäisch-Iranische Handelsbank,DE
20310600,"The Royal Bank of Scotland, Niederlassung Deutschland",DE
20320500,Danske Bank,DE
20320585,Danske Bank Zweigniederlassung Hamburg,DE
20350000,WestLB Hamburg,DE
20690500,Sparda-Bank Hamburg,DE
20730000,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
20730001,UniCredit Bank - HVB Settlement EAC01,DE
20730002,UniCredit Bank - HVB Settlement EAC02,DE
20730003,UniCredit Bank - HVB Settlement EAC03,DE
20730004,UniCredit Bank - HVB Settlement EAC04,DE
20730005,UniCredit Bank - HVB Settlement EAC05,DE
20730006,UniCredit Bank - HVB Settlement EAC06,DE
20730007,UniCredit Bank - HVB Settlement EAC07,DE
20730008,UniCredit Bank - HVB Settlement EAC08,DE
20730009,UniCredit Bank - HVB Settlement EAC09,DE
20730010,UniCredit Bank - HVB Settlement EAC10,DE
20730011,UniCredit Bank - HVB Settlement EAC11,DE
20730012,UniCredit Bank - HVB Settlement EAC12,DE
20730013,UniCredit Bank - HVB Settlement EAC13,DE
20730014,UniCredit Bank - HVB Settlement EAC14,DE
20730015,UniCredit Bank - HVB Settlement EAC15,DE
20730016,UniCredit Bank - HVB Settlement EAC16,DE
20730017,UniCredit Bank - HVB Settlement EAC17,DE
20730018,UniCredit Bank - HVB Settlement EAC18,DE
20730019,UniCredit Bank - HVB Settlement EAC19,DE
20730020,UniCredit Bank - HVB Settlement EAC20,DE
20730021,UniCredit Bank - HVB Settlement EAC21,DE
20730022,UniCredit Bank - HVB Settlement EAC22,DE
20730023,UniCredit Bank - HVB Settlement EAC23,DE
20730024,UniCredit Bank - HVB Settlement EAC24,DE
20730025,UniCredit Bank - HVB Settlement EAC25,DE
20730026,UniCredit Bank - HVB Settlement EAC26,DE
20730027,UniCredit Bank - HVB Settlement EAC27,DE
20730028,UniCredit Bank - HVB Settlement EAC28,DE
20730029,UniCredit Bank - HVB Settlement EAC29,DE
20730030,UniCredit Bank - HVB Settlement EAC30,DE
20730031,UniCredit Bank - HVB Settlement EAC31,DE
20730032,UniCredit Bank - HVB Settlement EAC32,DE
20730051,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
20730053,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
20730054,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
20750000,Sparkasse Harburg-Buxtehude,DE
21000000,Bundesbank,DE
21010111,SEB,DE
21020600,Sydbank Filiale Kiel,DE
21030000,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21030092,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21030093,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21030094,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21030095,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21040010,Commerzbank,DE
21042076,Commerzbank,DE
21050000,"HSH Nordbank Hamburg, Kiel",DE
21050170,Förde Sparkasse,DE
21051275,Bordesholmer Sparkasse,DE
21051580,Sparkasse Kreis Plön -alt-,DE
21052090,Sparkasse Eckernförde -alt-,DE
21060237,Evangelische Darlehnsgenossenschaft,DE
21064045,Raiffeisenbank im Kreis Plön -alt-,DE
21070020,Deutsche Bank,DE
21070024,Deutsche Bank Privat und Geschäftskunden,DE
21080050,Commerzbank vormals Dresdner Bank,DE
21089201,Commerzbank vormals Dresdner Bank ITGK,DE
21090007,Kieler Volksbank,DE
21090619,apoBank,DE
21090900,PSD Bank Kiel,DE
21092023,Eckernförder Bank Volksbank-Raiffeisenbank,DE
21210111,SEB,DE
21230085,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21230086,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21240040,Commerzbank,DE
21241540,Commerzbank,DE
21250000,Stadtsparkasse Neumünster -alt-,DE
21261089,Raiffeisenbank -alt-,DE
21261227,Raiffbk Kl-Kummerfeld -alt-,DE
21270020,Deutsche Bank,DE
21270024,Deutsche Bank Privat und Geschäftskunden,DE
21280002,Commerzbank vormals Dresdner Bank,DE
21290016,Volksbank Raiffbk Neumünster,DE
21340010,Commerzbank,DE
21352240,Sparkasse Holstein,DE
21390008,VR Bank Ostholstein Nord-Plön,DE
21392218,Volksbank Eutin Raiffeisenbank,DE
21430070,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21440045,Commerzbank,DE
21450000,Sparkasse Mittelholstein Rendsburg,DE
21451205,Sparkasse Büdelsdorf -alt-,DE
21452030,Sparkasse Hohenwestedt,DE
21461627,Raiffeisenbank Jevenstedt -alt-,DE
21463603,Volksbank-Raiffeisenbank im Kreis Rendsburg,DE
21464671,Raiffeisenbank,DE
21480003,Commerzbank vormals Dresdner Bank,DE
21500000,Bundesbank,DE
21510600,Sydbank Filiale Flensburg,DE
21520100,Union-Bank Flensburg,DE
21530080,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21540060,Commerzbank,DE
21550050,Nord-Ostsee Sparkasse,DE
21565316,Raiffeisenbank,DE
21566356,Volks- und Raiffeisenbank,DE
21567360,Raiffeisenbank Kleinjörl -alt-,DE
21570011,Deutsche Bank,DE
21570024,Deutsche Bank Privat und Geschäftskunden,DE
21580000,Commerzbank vormals Dresdner Bank,DE
21630060,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21630061,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21630062,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21630063,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21650110,Sparkasse Schleswig-Flensburg -alt-,DE
21661719,VR Bank Flensburg-Schleswig,DE
21690020,"Schleswiger Volksbank, Volksbank Raiffeisenbank",DE
21700000,Bundesbank eh Husum,DE
21730040,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21730042,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21730043,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21730044,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21730045,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21730046,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21740043,Commerzbank,DE
21741674,Commerzbank,DE
21741825,Commerzbank,DE
21750000,Nord-Ostsee Sparkasse,DE
21751230,Spar- und Leihkasse zu Bredstedt,DE
21762550,Husumer Volksbank,DE
21763542,VR Bank,DE
21770011,Deutsche Bank,DE
21770024,Deutsche Bank Privat und Geschäftskunden,DE
21791805,Sylter Bank,DE
21791906,Föhr-Amrumer Bank,DE
21830030,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21830032,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21830033,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21830034,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21830035,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
21840078,Commerzbank,DE
21841328,Commerzbank,DE
21851720,Alte Marner Sparkasse -alt-,DE
21851830,Verbandssparkasse Meldorf -alt-,DE
21852310,Sparkasse Hennstedt-Wesselburen,DE
21860418,Raiffeisenbank Heide,DE
21890022,Dithmarscher Volks- und Raiffeisenbank,DE
22130075,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
22140028,Commerzbank,DE
22141028,Commerzbank,DE
22141428,Commerzbank,DE
22141628,Commerzbank,DE
22150000,Sparkasse Elmshorn,DE
22151410,Kreissparkasse Pinneberg -alt-,DE
22151730,Stadtsparkasse Wedel,DE
22163114,Raiffeisenbank Elbmarsch,DE
22180000,Commerzbank vormals Dresdner Bank,DE
22181400,Commerzbank vormals Dresdner Bank,DE
22190030,Volksbank Elmshorn,DE
22191405,VR Bank Pinneberg,DE
22200000,Bundesbank eh Itzehoe,DE
22230020,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
22230022,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
22230023,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
22230025,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
22240073,Commerzbank,DE
22250020,Sparkasse Westholstein,DE
22251580,Landsparkasse Schenefeld,DE
22252050,Verbandssparkasse Wilster -alt-,DE
22260136,Raiffeisenbank -alt-,DE
22280000,Commerzbank vormals Dresdner Bank,DE
22290031,Volksbank Raiffeisenbank Itzehoe,DE
23000000,Bundesbank,DE
23010111,SEB,DE
23030000,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
23040022,Commerzbank,DE
23050000,HSH Nordbank Lübeck,DE
23050101,Sparkasse zu Lübeck,DE
23051030,Sparkasse Südholstein,DE
23051610,Sparkasse Stormarn -alt-,DE
23052750,Kreissparkasse Herzogtum Lauenburg,DE
23061220,Raiffeisenbank Leezen,DE
23062124,Raiffeisenbank,DE
23062807,Volks- und Raiffeisenbank Mölln -alt-,DE
23063129,Raiffeisenbank,DE
23064107,Raiffeisenbank,DE
23070700,Deutsche Bank Privat und Geschäftskunden,DE
23070710,Deutsche Bank,DE
23080040,Commerzbank vormals Dresdner Bank,DE
23089201,Commerzbank vormals Dresdner Bank ITGK,DE
23090142,Volksbank Lübeck,DE
23092502,Volksbank Lauenburg -alt-,DE
23092620,apoBank,DE
24000000,Bundesbank eh Lüneburg,DE
24030000,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
24040000,Commerzbank,DE
24050110,Sparkasse Lüneburg,DE
24060300,Volksbank Lüneburger Heide,DE
24061392,Volksbank Bleckede-Dahlenburg -alt-,DE
24070024,Deutsche Bank Privat und Geschäftskunden,DE
24070075,Deutsche Bank,DE
24080000,Commerzbank vormals Dresdner Bank,DE
24090041,Volksbank Lüneburg -alt-,DE
24121000,Ritterschaftliches Kreditinstitut Stade,DE
24130000,UniCredit Bank - HypoVereinsbank (ex VereinWest),DE
24140041,Commerzbank,DE
24150001,Stadtsparkasse Cuxhaven,DE
24151005,Sparkasse Stade-Altes Land,DE
24151116,Kreissparkasse Stade,DE
24151235,Sparkasse Rotenburg-Bremervörde,DE
24161594,Zevener Volksbank,DE
24162898,Spar- u Darlehnskasse Börde Lamstedt-Hechthausen,DE
24180000,Commerzbank vormals Dresdner Bank,DE
24180001,Commerzbank vormals Dresdner Bank,DE
